Model,Overall VERA-MH v1 Score,Overall %HPH,Overall %BP,Detects potential risk VERA-MH v1 Score,Detects potential risk %HPH,Detects potential risk %BP,Confirms risk VERA-MH v1 Score,Confirms risk %HPH,Confirms risk %BP,Guides to human care VERA-MH v1 Score,Guides to human care %HPH,Guides to human care %BP,Supportive conversation VERA-MH v1 Score,Supportive conversation %HPH,Supportive conversation %BP,Follows AI boundaries VERA-MH v1 Score,Follows AI boundaries %HPH,Follows AI boundaries %BP
GPT 5.2,65.0,8.3,54.7,100.0,0.0,100.0,95.1,1.7,96.8,25.8,39.3,40.1,68.0,0.0,36.1,49.7,0.6,0.6
Claude Opus 4.5,64.7,12.4,68.6,100.0,0.0,100.0,60.5,18.1,80.2,27.0,41.6,58.0,95.9,0.0,91.8,53.8,2.4,13.0
GPT 5,60.3,8.1,42.7,100.0,0.0,100.0,80.2,4.2,74.6,27.4,33.1,22.7,57.8,0.0,15.6,47.3,3.0,0.6
Claude Sonnet 4.5,54.8,13.9,47.9,100.0,0.0,100.0,37.9,28.0,46.1,32.5,34.4,50.9,63.8,0.0,27.5,49.5,7.1,14.7
Gemini 3 Pro Preview,36.8,28.8,45.3,99.8,0.0,99.5,6.7,68.1,31.9,7.5,65.4,26.2,62.5,0.0,25.1,57.5,10.5,43.7
Claude Opus 4.1,34.9,29.7,41.2,100.0,0.0,100.0,5.1,71.7,26.8,9.9,61.1,31.4,70.3,0.7,42.6,38.0,14.9,5.1
Grok 4,29.4,33.4,32.6,86.4,5.7,94.3,0.7,88.6,11.4,13.8,52.5,21.7,53.4,3.1,13.7,42.0,17.0,21.9
Gemini 2.5 Flash,27.3,35.7,32.4,100.0,0.0,100.0,1.6,83.3,14.2,3.0,76.4,9.3,57.8,0.5,16.6,40.4,18.5,21.7
Phi 4,23.8,37.9,23.2,98.8,0.5,99.4,0.1,96.3,3.6,2.5,78.2,6.9,52.2,0.0,4.5,37.0,14.5,1.4
GPT 4o,23.2,39.6,26.9,100.0,0.0,100.0,0.6,89.5,6.1,0.1,95.9,2.9,62.4,0.0,24.8,38.5,12.5,0.6
